<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume>
2023/07/01,08:00:00,30471.99000000,30481.40000000,30471.99000000,30481.39000000,18.37350000
2023/07/01,08:01:00,30481.39000000,30481.40000000,30458.12000000,30461.63000000,38.03480000
2023/07/01,08:02:00,30461.63000000,30483.57000000,30461.63000000,30470.81000000,46.27536000
2023/07/01,08:03:00,30470.82000000,30486.98000000,30470.81000000,30483.72000000,29.51340000
2023/07/01,08:04:00,30483.73000000,30493.96000000,30483.72000000,30492.72000000,14.14330000
2023/07/01,08:05:00,30492.73000000,30492.73000000,30478.97000000,30483.99000000,22.16207000
2023/07/01,08:06:00,30483.99000000,30499.21000000,30483.99000000,30499.20000000,14.45977000
2023/07/01,08:07:00,30499.21000000,30510.00000000,30499.20000000,30509.98000000,23.64962000
2023/07/01,08:08:00,30509.98000000,30509.98000000,30486.00000000,30486.01000000,27.79433000
2023/07/01,08:09:00,30486.00000000,30504.32000000,30486.00000000,30504.32000000,16.76968000
2023/07/01,08:10:00,30504.31000000,30506.00000000,30502.05000000,30502.07000000,15.94630000
2023/07/01,08:11:00,30502.06000000,30516.70000000,30502.06000000,30504.01000000,23.11835000
2023/07/01,08:12:00,30504.00000000,30515.03000000,30495.83000000,30495.83000000,14.69760000
2023/07/01,08:13:00,30495.83000000,30495.84000000,30444.38000000,30444.38000000,27.43517000
2023/07/01,08:14:00,30444.38000000,30447.72000000,30420.00000000,30447.72000000,43.75835000
2023/07/01,08:15:00,30447.71000000,30479.23000000,30447.71000000,30479.22000000,22.08255000
2023/07/01,08:16:00,30479.23000000,30484.87000000,30474.23000000,30479.00000000,24.09664000
2023/07/01,08:17:00,30479.00000000,30479.01000000,30461.19000000,30466.97000000,21.04637000
2023/07/01,08:18:00,30466.98000000,30471.90000000,30460.96000000,30463.73000000,12.76118000
2023/07/01,08:19:00,30463.73000000,30483.75000000,30463.73000000,30480.43000000,21.56474000
2023/07/01,08:20:00,30480.44000000,30480.44000000,30472.77000000,30473.68000000,9.29005000
2023/07/01,08:21:00,30473.68000000,30477.42000000,30461.19000000,30477.41000000,17.16478000
2023/07/01,08:22:00,30477.41000000,30489.15000000,30473.01000000,30486.00000000,13.61332000
2023/07/01,08:23:00,30486.01000000,30495.16000000,30486.00000000,30489.71000000,17.24360000
2023/07/01,08:24:00,30489.71000000,30497.05000000,30489.70000000,30492.00000000,14.76316000
2023/07/01,08:25:00,30492.00000000,30492.01000000,30480.53000000,30480.53000000,19.48527000
